gvkey,fyear,datadate,at,ceq,csho,prcc_f,dlc,dltt,dvt,dvc,oibdp,sale,ppent,xad,xrd,fyr,exchg,permno,linktype,linkprim,linkdt,linkenddt,hexcd,mve,market_value_of_assets,market_debt_ratio,ln_market_value_of_assets,profits_to_sales,tangible_assets,market_to_book_assets,advertising_to_sales,rd_to_sales,rd_positive,firm_age,ln_firm_age,prev_year_dvt,prev_year_dvc
186785,2015,2015-12-31,1406.977,286.273,210.539,3.11,164.099,494.743,0.0,0.0,215.908,3052.74,833.357,122.92,0.0,12,11.0,12684.0,LC,P,2011-04-29,,1.0,654.7762899999999,1775.48029,0.371078183019424,7.81405004120169,0.07884028358848719,0.6219597945152052,1.3790740703595985,0.04008775521662857,0.0,0.0,4,1.3862943611198906,50.036,50.036
186785,2019,2019-12-31,2557.685,421.138,204.07,8.1,86.676,1485.157,22.425,22.425,278.244,2959.077,1883.151,115.568,0.0,12,11.0,12684.0,LC,P,2011-04-29,,1.0,1652.9669999999999,3789.514,0.41478485103894586,7.939867586328985,0.0942386204958445,0.5425670721699527,1.778782907139811,0.03921344015763388,0.0,0.0,8,2.0794415416798357,20.937,20.937
186785,2020,2020-12-31,2293.954,197.546,207.266,5.03,59.957,1526.058,10.22,10.22,70.906,1984.219,1587.501,60.855,0.0,12,11.0,12684.0,LC,P,2011-04-29,,1.0,1042.54798,3138.9559800000006,0.50526831535879,8.239993057664048,0.09403067240223895,0.7362716675431104,1.4816187294369714,0.039055421673717845,0.0,0.0,9,2.1972245773362196,22.425,22.425
187551,2017,2017-12-31,2772.0,674.8,43.4,72.6,7.0,1165.0,61.6,61.6,513.3,4448.1,627.0,1.5,51.9,12,11.0,14755.0,LC,P,2014-06-12,2021-10-10,1.0,3150.8399999999997,5248.039999999999,0.22332146858636753,8.43195906327476,0.12436313444401396,0.21322230015480453,1.9055842937717113,0.0008071806793232598,0.013722071548495416,1.0,3,1.0986122886681098,40.568,40.568
187551,2018,2018-12-31,2726.8,768.7,41.6,45.78,7.0,1160.8,67.2,67.2,419.1,4622.8,592.1,1.6,56.0,12,11.0,14755.0,LC,P,2014-06-12,2021-10-10,1.0,1904.448,3862.5480000000002,0.3023392848451333,8.565609952546097,0.1153975854859378,0.2261904761904762,1.893232323232323,0.00033722263438321976,0.011667903149659403,1.0,4,1.3862943611198906,61.6,61.6
187551,2019,2019-12-31,2758.8,668.9,39.0,37.21,25.2,1220.6,64.2,64.2,233.9,3775.8,697.2,1.8,54.6,12,11.0,14755.0,LC,P,2014-06-12,2021-10-10,1.0,1451.19,3541.09,0.35181257748320427,8.25908234831325,0.09065934065934066,0.21714097110165761,1.41651312894235,0.0003461105823310548,0.012113870381586917,1.0,5,1.6094379124341003,67.2,67.2
187551,2020,2020-12-31,2845.2,590.3,38.4,51.21,28.1,1224.4,49.7,49.7,228.8,3035.5,679.7,1.4,60.4,12,11.0,14755.0,LC,P,2014-06-12,2021-10-10,1.0,1966.464,4221.364,0.29670504604672804,8.172189868337906,0.06194713703056306,0.25271857329273595,1.2835616934899232,0.0004767201652629906,0.014460511679644048,1.0,6,1.791759469228055,64.2,64.2
187575,2013,2014-01-31,232.407,140.923,28.003,11.61,0.758,2.5,0.0,0.0,49.104,495.837,100.936,9.1,0.0,1,11.0,13399.0,LC,P,2012-05-04,,1.0,325.11483,416.59883,0.007820473235606543,6.211564350918934,0.11916343349219223,0.39402865893144934,2.4271010463480067,0.017975950745894958,0.0,0.0,1,0.0,84.287,84.287
187575,2018,2019-01-31,293.168,163.327,29.486,12.11,0.0,0.0,29.453,29.453,52.343,598.478,73.842,13.2,0.0,1,11.0,13399.0,LC,P,2012-05-04,,1.0,357.07545999999996,486.91646,0.0,6.335199276442426,0.09280827319860148,0.2872038633488561,1.9443654325413375,0.020974208656974618,0.0,0.0,6,1.791759469228055,29.067,29.067
187575,2019,2020-01-31,546.64,159.901,29.729,8.5,55.321,240.755,29.677,29.677,49.403,619.3,329.825,15.9,0.0,1,11.0,13399.0,LC,P,2012-05-04,,1.0,252.6965,639.4354999999999,0.4630271544197969,6.188092568326846,0.087460190683701,0.2518760574141789,1.660878608852262,0.022055948589588925,0.0,0.0,7,1.9459101490553132,29.453,29.453
